HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 15:20
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,80.190002,
Calibration Factor, 0.155414,0.142485,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,213.249844,INVALID,221.938258,INVALID,Start,All,Restart,Started at:15:20:19,
1.0,212.494531,INVALID,221.822845,INVALID,,,,,
2.0,212.620417,INVALID,221.361195,INVALID,,,,,
3.0,213.123958,INVALID,221.014958,INVALID,,,,,
4.0,213.123958,INVALID,221.014958,INVALID,,,,,
5.0,212.620417,INVALID,221.014958,INVALID,,,,,
6.0,212.368646,INVALID,221.361195,INVALID,,,,,
7.0,212.746302,INVALID,221.592020,INVALID,,,,,
8.0,212.998073,INVALID,221.592020,INVALID,,,,,
9.0,212.494531,INVALID,221.707433,INVALID,,,,,
10.0,212.242761,INVALID,221.592020,INVALID,,,,,
11.0,212.746302,INVALID,221.130370,INVALID,,,,,
12.0,212.998073,INVALID,220.668720,INVALID,,,,,
13.0,212.746302,INVALID,220.668720,INVALID,,,,,
14.0,212.242761,INVALID,220.322482,INVALID,,,,,
15.0,212.368646,INVALID,220.091657,INVALID,,,,,
16.0,212.746302,INVALID,220.437895,INVALID,,,,,
17.0,212.620417,INVALID,220.899545,INVALID,,,,,
18.0,212.116875,INVALID,221.014958,INVALID,,,,,
19.0,212.242761,INVALID,221.130370,INVALID,,,,,
20.0,212.746302,INVALID,220.899545,INVALID,,,,,
21.0,212.620417,INVALID,220.437895,INVALID,,,,,
22.0,212.242761,INVALID,220.091657,INVALID,,,,,
23.0,212.116875,INVALID,220.207070,INVALID,,,,,
24.0,212.620417,INVALID,220.091657,INVALID,,,,,
25.0,212.872188,INVALID,220.207070,INVALID,,,,,
