HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 12:01
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,211.361563,INVALID,196.220370,INVALID,Start,All,Restart,Started at:12:01:38,
1.0,211.739219,INVALID,195.796797,INVALID,,,,,
2.0,211.990990,INVALID,195.373224,INVALID,,,,,
3.0,211.865104,INVALID,195.055544,INVALID,,,,,
4.0,211.361563,INVALID,194.843757,INVALID,,,,,
5.0,211.487448,INVALID,194.949650,INVALID,,,,,
6.0,211.990990,INVALID,194.949650,INVALID,,,,,
7.0,211.865104,INVALID,194.949650,INVALID,,,,,
8.0,211.487448,INVALID,194.737864,INVALID,,,,,
9.0,211.613334,INVALID,194.420183,INVALID,,,,,
10.0,211.990990,INVALID,194.102503,INVALID,,,,,
11.0,211.865104,INVALID,193.573037,INVALID,,,,,
12.0,211.613334,INVALID,193.361250,INVALID,,,,,
13.0,211.990990,INVALID,193.043570,INVALID,,,,,
14.0,212.116875,INVALID,193.149463,INVALID,,,,,
15.0,211.613334,INVALID,193.361250,INVALID,,,,,
16.0,211.361563,INVALID,193.361250,INVALID,,,,,
17.0,211.990990,INVALID,193.467143,INVALID,,,,,
18.0,212.116875,INVALID,193.361250,INVALID,,,,,
19.0,211.487448,INVALID,193.043570,INVALID,,,,,
20.0,211.361563,INVALID,192.619997,INVALID,,,,,
21.0,211.739219,INVALID,192.619997,INVALID,,,,,
22.0,212.116875,INVALID,192.408210,INVALID,,,,,
23.0,211.613334,INVALID,192.302317,INVALID,,,,,
24.0,211.361563,INVALID,192.408210,INVALID,,,,,
25.0,211.739219,INVALID,190.713916,INVALID,,,,,
26.0,211.865104,INVALID,190.078556,INVALID,,,,,
27.0,211.487448,INVALID,189.972663,INVALID,,,,,
28.0,211.235678,INVALID,189.654983,INVALID,,,,,
29.0,211.613334,INVALID,189.125516,INVALID,,,,,
30.0,211.990990,-0.121825,188.596049,-12.520180,,,,,
