HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 13:01
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,80.566647,INVALID,203.632905,INVALID,Start,All,Restart,Started at:13:01:06,
1.0,80.566647,INVALID,203.527011,INVALID,,,,,
2.0,80.314876,INVALID,204.056478,INVALID,,,,,
3.0,80.440762,INVALID,205.009518,INVALID,,,,,
4.0,80.314876,INVALID,204.480051,INVALID,,,,,
5.0,80.314876,INVALID,205.115411,INVALID,,,,,
6.0,80.188991,INVALID,205.750772,INVALID,,,,,
7.0,80.188991,INVALID,205.644878,INVALID,,,,,
8.0,80.063105,INVALID,204.162371,INVALID,,,,,
9.0,80.063105,INVALID,203.844691,INVALID,,,,,
10.0,80.063105,INVALID,203.844691,INVALID,,,,,
11.0,80.063105,INVALID,203.632905,INVALID,,,,,
12.0,80.063105,INVALID,204.797731,INVALID,,,,,
13.0,80.063105,INVALID,205.750772,INVALID,,,,,
14.0,79.937220,INVALID,204.480051,INVALID,,,,,
15.0,79.937220,INVALID,204.691838,INVALID,,,,,
16.0,79.811335,INVALID,206.174345,INVALID,,,,,
17.0,79.811335,INVALID,205.644878,INVALID,,,,,
18.0,79.811335,INVALID,205.327198,INVALID,,,,,
19.0,79.685449,INVALID,205.644878,INVALID,,,,,
20.0,79.685449,INVALID,204.268265,INVALID,,,,,
21.0,79.685449,INVALID,205.433091,INVALID,,,,,
22.0,79.559564,INVALID,205.644878,INVALID,,,,,
23.0,79.559564,INVALID,205.962558,INVALID,,,,,
24.0,79.559564,INVALID,206.068452,INVALID,,,,,
25.0,79.433678,INVALID,205.962558,INVALID,,,,,
26.0,79.433678,INVALID,205.433091,INVALID,,,,,
27.0,79.559564,INVALID,205.115411,INVALID,,,,,
28.0,79.433678,INVALID,204.162371,INVALID,,,,,
29.0,79.433678,INVALID,204.585945,INVALID,,,,,
30.0,79.307793,-2.335986,204.480051,2.121283,,,,,
31.0,79.307793,-2.293347,204.585945,1.506418,,,,,
32.0,79.307793,-2.220253,204.585945,0.827505,,,,,
33.0,79.181908,-2.259846,204.797731,0.404786,,,,,
34.0,79.181908,-2.223298,204.691838,0.294623,,,,,
35.0,79.181908,-2.205025,205.538985,0.294623,,,,,
36.0,79.056022,-2.205025,205.750772,0.591807,,,,,
37.0,79.056022,-2.223298,205.115411,0.888992,,,,,
38.0,79.056022,-2.214162,204.797731,1.045270,,,,,
39.0,79.056022,-2.226344,204.374158,0.494454,,,,,
40.0,78.930137,-2.259846,203.421118,-0.530321,,,,,
41.0,78.930137,-2.265937,204.056478,-1.314273,,,,,
42.0,78.930137,-2.244618,204.691838,-1.954757,,,,,
