HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 10:27
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,204.689637,INVALID,180.442262,INVALID,Start,All,Restart,Started at:10:27:54,
1.0,204.689637,INVALID,180.759942,INVALID,,,,,
2.0,205.193179,INVALID,180.971729,INVALID,,,,,
3.0,205.570835,INVALID,181.077622,INVALID,,,,,
4.0,205.319064,INVALID,180.865835,INVALID,,,,,
5.0,205.319064,INVALID,180.865835,INVALID,,,,,
6.0,205.319064,INVALID,180.442262,INVALID,,,,,
7.0,205.822606,INVALID,180.018688,INVALID,,,,,
8.0,206.200262,INVALID,179.912795,INVALID,,,,,
9.0,205.696721,INVALID,179.912795,INVALID,,,,,
10.0,205.570835,INVALID,180.018688,INVALID,,,,,
11.0,205.570835,INVALID,179.806902,INVALID,,,,,
12.0,206.200262,INVALID,180.230475,INVALID,,,,,
13.0,206.452033,INVALID,180.442262,INVALID,,,,,
14.0,206.074377,INVALID,180.654049,INVALID,,,,,
15.0,205.948491,INVALID,180.548155,INVALID,,,,,
16.0,206.074377,INVALID,180.654049,INVALID,,,,,
17.0,206.703804,INVALID,180.442262,INVALID,,,,,
18.0,206.703804,INVALID,180.018688,INVALID,,,,,
19.0,206.200262,INVALID,179.806902,INVALID,,,,,
20.0,206.200262,INVALID,179.701008,INVALID,,,,,
21.0,206.829689,INVALID,179.595115,INVALID,,,,,
22.0,206.955574,INVALID,179.912795,INVALID,,,,,
23.0,206.452033,INVALID,180.336368,INVALID,,,,,
24.0,206.452033,INVALID,180.442262,INVALID,,,,,
25.0,206.955574,INVALID,180.442262,INVALID,,,,,
26.0,206.955574,INVALID,180.124582,INVALID,,,,,
27.0,206.577918,INVALID,179.701008,INVALID,,,,,
28.0,206.955574,INVALID,179.595115,INVALID,,,,,
29.0,207.333231,INVALID,179.595115,INVALID,,,,,
30.0,206.955574,4.242541,179.701008,-1.834346,,,,,
31.0,206.703804,3.895341,180.124582,-1.788231,,,,,
32.0,207.207345,3.682148,180.336368,-1.534600,,,,,
33.0,207.585001,3.740014,180.336368,-1.188738,,,,,
34.0,207.081460,3.703467,180.230475,-0.824943,,,,,
35.0,206.955574,3.487228,180.230475,-0.522635,,,,,
36.0,207.207345,3.322765,179.701008,-0.397100,,,,,
37.0,207.710887,3.295355,179.489222,-0.484206,,,,,
38.0,207.333231,3.267944,179.383328,-0.750647,,,,,
39.0,206.955574,3.213123,179.383328,-1.042708,,,,,
40.0,207.459116,3.127846,179.701008,-1.206672,,,,,
41.0,207.585001,2.996884,180.018688,-1.209234,,,,,
42.0,205.570835,2.086246,180.230475,-1.216920,,,,,
43.0,205.444950,1.373572,180.230475,-1.070889,,,,,
44.0,206.200262,1.050737,180.018688,-0.919735,,,,,
45.0,206.703804,0.770540,180.018688,-0.676351,,,,,
46.0,206.577918,0.380702,179.489222,-0.650732,,,,,
47.0,206.326147,-0.067004,179.277435,-0.635360,,,,,
48.0,206.829689,-0.094414,179.277435,-0.668665,,,,,
49.0,207.333231,0.057867,179.383328,-0.799324,,,,,
50.0,207.081460,-0.091368,179.701008,-0.881306,,,,,
51.0,206.955574,-0.307607,179.912795,-0.924859,,,,,
52.0,207.459116,-0.115733,180.018688,-0.976098,,,,,
53.0,207.836772,0.246695,180.018688,-0.914611,,,,,
54.0,207.333231,0.210147,180.018688,-0.691723,,,,,
55.0,207.333231,0.152281,179.806902,-0.497016,,,,,
56.0,207.710887,0.405067,179.383328,-0.440653,,,,,
57.0,208.214428,0.822316,179.171542,-0.558502,,,,,
58.0,207.962658,0.971551,179.065648,-0.855687,,,,,
59.0,207.710887,1.142105,178.112608,-1.524352,,,,,
60.0,208.214428,1.623312,178.642075,-1.965005,,,,,
61.0,208.466199,2.028379,178.959755,-2.226322,,,,,
62.0,208.088543,2.162386,179.171542,-2.228884,,,,,
63.0,207.836772,2.366442,179.171542,-2.126407,,,,,
64.0,208.466199,2.929881,179.065648,-2.034177,,,,,
65.0,208.717970,3.368449,179.065648,-1.952195,,,,,
66.0,208.466199,3.627326,178.853862,-1.918890,,,,,
67.0,208.088543,3.810063,178.853862,-2.057234,,,,,
68.0,208.592084,4.349137,178.853862,-2.257065,,,,,
69.0,208.843855,4.812070,179.171542,-2.367229,,,,,
70.0,208.340314,4.909530,179.701008,-2.280123,,,,,
71.0,208.214428,5.122723,179.912795,-2.000872,,,,,
72.0,208.340314,5.412056,180.018688,-1.565343,,,,,
73.0,208.969741,5.131860,179.277435,-1.316835,,,,,
74.0,208.592084,4.583649,178.959755,-1.160557,,,,,
75.0,208.340314,4.160309,178.642075,-1.170805,,,,,
76.0,208.843855,4.062849,178.642075,-1.147747,,,,,
77.0,209.095626,3.956253,179.065648,-1.142623,,,,,
78.0,209.095626,3.691284,178.853862,-1.286092,,,,,
79.0,208.466199,3.325811,179.489222,-1.188738,,,,,
80.0,208.969741,3.298400,179.489222,-1.055518,,,,,
81.0,209.221511,3.225305,179.171542,-0.917173,,,,,
82.0,208.466199,2.777600,178.853862,-0.799324,,,,,
83.0,208.843855,2.625319,178.747968,-0.653294,,,,,
84.0,208.592084,2.494358,178.959755,-0.399662,,,,,
85.0,208.843855,2.241572,178.747968,-0.197269,,,,,
86.0,208.088543,1.678133,178.747968,-0.046115,,,,,
87.0,207.836772,1.151242,178.853862,0.005124,,,,,
88.0,208.214428,0.953277,179.065648,0.064048,,,,,
89.0,207.836772,0.520800,179.383328,0.199831,,,,,
90.0,207.459116,-0.143144,179.383328,-0.040991,,,,,
91.0,207.710887,-0.514709,179.383328,-0.107601,,,,,
92.0,208.088543,-0.639579,179.277435,-0.107601,,,,,
93.0,207.710887,-1.038554,178.853862,-0.187021,,,,,
94.0,207.207345,-1.708590,178.853862,-0.258756,,,,,
95.0,207.333231,-2.074063,178.642075,-0.440653,,,,,
96.0,207.962658,-2.086246,178.642075,-0.612303,,,,,
97.0,207.962658,-2.177614,178.853862,-0.778828,,,,,
98.0,207.585001,-2.540042,179.383328,-0.753209,,,,,
99.0,208.214428,-2.466947,179.701008,-0.625112,,,,,
100.0,208.088543,-2.332940,179.383328,-0.509825,,,,,
101.0,207.585001,-2.558316,179.065648,-0.309994,,,,,
102.0,207.836772,-2.722779,178.853862,-0.089668,,,,,
103.0,208.214428,-2.692323,178.747968,0.158840,,,,,
104.0,207.962658,-2.506540,178.747968,0.151154,,,,,
105.0,207.333231,-2.671004,178.959755,0.110163,,,,,
106.0,207.459116,-2.856786,179.383328,0.099915,,,,,
107.0,208.088543,-2.597909,179.701008,0.187021,,,,,
108.0,207.836772,-2.314667,179.806902,0.450901,,,,,
109.0,207.333231,-2.183705,179.489222,0.499577,,,,,
110.0,207.333231,-2.253754,178.959755,0.586683,,,,,
111.0,207.836772,-1.918737,178.747968,0.609741,,,,,
112.0,207.836772,-1.458849,178.853862,0.566188,,,,,
113.0,207.459116,-1.394891,178.959755,0.445777,,,,,
114.0,207.207345,-1.251747,179.383328,0.435529,,,,,
115.0,207.836772,-0.938049,179.701008,0.607179,,,,,
116.0,207.836772,-0.508618,179.806902,0.717342,,,,,
117.0,207.333231,-0.529937,179.701008,0.763457,,,,,
118.0,207.207345,-0.676126,179.489222,0.750647,,,,,
119.0,207.710887,-0.478161,179.171542,0.689161,,,,,
120.0,208.088543,-0.277151,178.959755,0.671227,,,,,
121.0,207.459116,-0.456842,178.959755,0.663541,,,,,
122.0,207.333231,-0.584758,179.277435,0.781390,,,,,
123.0,207.710887,-0.420295,179.489222,0.937668,,,,,
124.0,208.214428,-0.210147,179.912795,1.078575,mito,1,Up Arrow,,
125.0,207.836772,-0.344154,180.124582,1.270720,,,,,
126.0,207.585001,-0.536028,180.124582,1.350140,,,,,
127.0,207.836772,-0.398975,180.018688,1.355264,,,,,
128.0,208.214428,-0.121825,179.489222,1.216920,,,,,
129.0,207.836772,-0.134007,179.277435,1.191300,,,,,
130.0,207.585001,0.000000,179.277435,1.291216,,,,,
131.0,207.962658,0.237558,179.383328,1.316835,,,,,
132.0,208.340314,0.420295,179.806902,1.373198,,,,,
133.0,208.214428,0.636533,179.912795,1.368074,,,,,
134.0,207.710887,0.807088,180.124582,1.373198,,,,,
135.0,207.710887,0.892365,180.336368,1.421874,,,,,
136.0,208.340314,0.968505,180.336368,1.514104,,,,,
137.0,208.340314,1.069011,180.018688,1.621705,,,,,
138.0,207.836772,1.209109,179.806902,1.760050,,,,,
139.0,207.962658,1.303523,179.701008,1.898394,,,,,
140.0,208.466199,1.382709,179.701008,1.916328,,,,,
141.0,208.214428,1.343116,179.912795,1.801041,,,,,
142.0,207.836772,1.340070,180.336368,1.734431,,,,,
143.0,207.962658,1.382709,180.442262,1.708811,,,,,
144.0,208.466199,1.458849,180.654049,1.762612,,,,,
145.0,208.592084,1.458849,180.654049,1.939385,,,,,
146.0,207.962658,1.440576,180.759942,2.246818,,,,,
147.0,208.088543,1.464940,180.230475,2.377476,,,,,
148.0,208.717970,1.516716,180.018688,2.380038,,,,,
149.0,208.843855,1.531944,179.806902,2.216074,,,,,
150.0,208.214428,1.474077,179.912795,1.959881,,,,,
151.0,208.088543,1.504533,179.806902,1.565343,,,,,
152.0,208.717970,1.519761,180.548155,1.419312,,,,,
153.0,208.969741,1.547172,180.654049,1.396255,,,,,
154.0,208.466199,1.498442,180.865835,1.498732,,,,,
155.0,208.214428,1.534990,180.971729,1.770298,,,,,
156.0,208.717970,1.608084,180.759942,2.021367,,,,,
157.0,208.843855,1.608084,180.865835,2.295494,,,,,
158.0,208.969741,1.720772,180.759942,2.472268,,,,,
159.0,208.466199,1.769502,180.442262,2.310866,,,,,
160.0,208.340314,1.620267,180.336368,2.005996,,,,,
161.0,209.347397,1.726863,180.230475,1.637077,,,,,
162.0,209.347397,1.937011,180.442262,1.362950,,,,,
163.0,209.095626,2.168477,180.442262,1.227167,,,,,
164.0,208.717970,2.195888,180.759942,1.232291,,,,,
165.0,209.221511,2.198933,180.971729,1.375760,,,,,
