HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 12:39
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,207.710887,INVALID,136.602417,INVALID,Start,All,Restart,Started at:12:39:57,
1.0,208.340314,INVALID,136.814203,INVALID,,,,,
2.0,208.843855,INVALID,136.920097,INVALID,,,,,
3.0,208.466199,INVALID,137.131883,INVALID,,,,,
4.0,208.592084,INVALID,137.343670,INVALID,,,,,
5.0,209.221511,INVALID,137.449563,INVALID,,,,,
6.0,209.599168,INVALID,137.555457,INVALID,,,,,
7.0,209.221511,INVALID,137.767243,INVALID,,,,,
8.0,209.095626,INVALID,137.873137,INVALID,,,,,
9.0,209.473282,INVALID,138.190817,INVALID,,,,,
10.0,209.976824,INVALID,138.296710,INVALID,,,,,
11.0,210.228594,INVALID,138.508497,INVALID,,,,,
12.0,209.725053,INVALID,138.508497,INVALID,,,,,
13.0,209.850938,INVALID,138.720284,INVALID,,,,,
14.0,210.354480,INVALID,138.932070,INVALID,,,,,
15.0,210.732136,INVALID,138.932070,INVALID,,,,,
16.0,210.606251,INVALID,139.143857,INVALID,,,,,
17.0,210.354480,INVALID,139.249750,INVALID,,,,,
18.0,210.480365,INVALID,139.461537,INVALID,,,,,
19.0,210.858021,INVALID,139.673324,INVALID,,,,,
20.0,211.235678,INVALID,139.673324,INVALID,,,,,
21.0,210.732136,INVALID,139.779217,INVALID,,,,,
22.0,210.606251,INVALID,139.991004,INVALID,,,,,
23.0,210.858021,INVALID,139.991004,INVALID,,,,,
24.0,211.361563,INVALID,140.202790,INVALID,,,,,
