HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 08/07/19
Start Time: 11:17
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,
Gain,1.00,1.00,
Back Off,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,
Calibration Offset,54.270000,124.739998,
Calibration Factor, 0.155414,0.130733,


TEMPERATURE DATA
Channel No,1,2,
Set Temperature, 40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Label,Trace,Type,Comment
0.0,207.459116,INVALID,196.114477,INVALID,Start,All,Restart,Started at:11:17:28,
1.0,208.088543,INVALID,196.114477,INVALID,,,,,
2.0,208.592084,INVALID,196.220370,INVALID,,,,,
3.0,208.466199,INVALID,196.538050,INVALID,,,,,
4.0,208.340314,INVALID,196.749837,INVALID,,,,,
5.0,208.843855,INVALID,197.067517,INVALID,,,,,
6.0,209.473282,INVALID,197.173410,INVALID,,,,,
7.0,209.599168,INVALID,197.596984,INVALID,,,,,
8.0,209.095626,INVALID,197.596984,INVALID,,,,,
9.0,209.725053,INVALID,197.808771,INVALID,,,,,
10.0,210.102709,INVALID,197.808771,INVALID,,,,,
11.0,210.102709,INVALID,197.808771,INVALID,,,,,
12.0,209.725053,INVALID,197.914664,INVALID,,,,,
13.0,209.725053,INVALID,197.914664,INVALID,,,,,
14.0,210.480365,INVALID,198.232344,INVALID,,,,,
15.0,210.480365,INVALID,198.550024,INVALID,,,,,
16.0,210.102709,INVALID,198.867704,INVALID,,,,,
17.0,210.480365,INVALID,198.973597,INVALID,,,,,
18.0,210.983907,INVALID,199.185384,INVALID,,,,,
19.0,211.109792,INVALID,198.867704,INVALID,,,,,
20.0,210.354480,INVALID,199.291277,INVALID,,,,,
21.0,210.606251,INVALID,199.397171,INVALID,,,,,
22.0,210.732136,INVALID,199.714851,INVALID,,,,,
23.0,211.235678,INVALID,199.820744,INVALID,,,,,
24.0,211.235678,INVALID,199.608957,INVALID,,,,,
25.0,210.858021,INVALID,199.079491,INVALID,,,,,
26.0,211.109792,INVALID,198.550024,INVALID,,,,,
27.0,211.487448,INVALID,198.232344,INVALID,,,,,
28.0,211.487448,INVALID,197.914664,INVALID,,,,,
29.0,210.983907,INVALID,197.702877,INVALID,,,,,
30.0,211.235678,6.715579,197.808771,5.134119,,,,,
31.0,211.613334,6.261783,197.808771,4.280995,,,,,
32.0,211.865104,6.042499,198.126451,3.502166,,,,,
33.0,211.235678,5.698344,198.338237,2.792510,,,,,
34.0,211.109792,5.195818,198.655917,2.269875,,,,,
35.0,211.739219,4.809025,198.761811,1.816412,,,,,
36.0,211.487448,4.443551,198.020557,1.168243,,,,,
37.0,211.235678,4.166400,197.914664,0.499577,,,,,
38.0,211.739219,4.078077,197.702877,-0.099915,,,,,
39.0,212.116875,3.880112,197.808771,-0.663541,,,,,
40.0,211.865104,3.761334,197.808771,-1.150309,,,,,
41.0,211.487448,3.599916,198.020557,-1.560219,,,,,
42.0,211.613334,3.450681,198.550024,-1.783107,,,,,
43.0,212.116875,3.301446,198.761811,-1.906080,,,,,
44.0,211.865104,3.002976,199.079491,-1.934262,,,,,
45.0,211.487448,2.808056,199.397171,-1.752364,,,,,
46.0,211.613334,2.634456,199.503064,-1.437246,,,,,
47.0,212.116875,2.469993,199.608957,-0.983783,,,,,
48.0,210.480365,1.809095,199.820744,-0.430405,,,,,
49.0,209.850938,1.114695,200.350211,0.376605,,,,,
50.0,209.850938,0.496435,201.091464,1.301463,,,,,
51.0,210.480365,-0.155326,201.726824,2.567060,,,,,
52.0,210.606251,-0.666990,202.785758,4.199013,,,,,
53.0,210.102709,-1.312660,204.162371,6.371534,,,,,
54.0,210.354480,-1.656814,205.750772,9.053881,,,,,
55.0,210.983907,-1.751228,205.433091,11.395490,,,,,
56.0,211.109792,-1.940056,204.691838,13.122235,,,,,
57.0,210.732136,-2.174569,203.844691,14.200810,,,,,
58.0,210.983907,-2.162386,203.209331,14.797741,,,,,
59.0,211.613334,-1.909600,202.679864,14.959143,,,,,
60.0,211.739219,-1.809095,202.362184,14.807989,,,,,
61.0,211.109792,-1.857825,202.150398,14.508242,,,,,
62.0,211.235678,-1.711635,202.044504,14.065027,,,,,
63.0,211.865104,-1.230428,202.044504,13.642308,,,,,
64.0,211.990990,-0.947186,201.938611,13.168350,,,,,
65.0,211.487448,-0.913684,201.726824,12.653401,,,,,
66.0,211.487448,-0.645670,201.303251,11.951430,,,,,
67.0,212.242761,-0.194919,200.985571,10.785750,,,,,
68.0,212.242761,0.140098,200.667891,9.392057,,,,,
69.0,211.739219,0.462933,199.291277,7.350194,,,,,
70.0,211.739219,0.931958,199.608957,5.426180,,,,,
71.0,212.242761,1.495397,199.820744,3.535471,,,,,
72.0,212.494531,1.994877,200.350211,1.870213,,,,,
73.0,211.990990,2.335986,200.773784,0.507263,,,,,
74.0,211.865104,2.817193,200.879678,-0.789076,,,,,
75.0,212.368646,3.389769,200.985571,-1.975252,,,,,
76.0,212.494531,3.849656,200.879678,-3.123000,,,,,
77.0,211.990990,4.151172,200.773784,-4.304052,,,,,
78.0,211.865104,4.592786,200.773784,-5.474857,,,,,
79.0,212.620417,4.681109,200.879678,-6.553432,,,,,
80.0,212.494531,4.428323,201.091464,-7.375813,,,,,
81.0,212.116875,3.974526,201.409144,-7.813904,,,,,
82.0,211.865104,3.618190,201.832718,-7.860019,,,,,
83.0,212.368646,3.459818,202.150398,-7.383499,,,,,
84.0,212.494531,3.109572,202.256291,-6.320296,,,,,
85.0,211.990990,2.616183,202.785758,-4.403968,,,,,
86.0,211.361563,2.098428,203.209331,-2.385162,,,,,
87.0,211.613334,1.711635,202.785758,-0.753209,,,,,
88.0,211.235678,1.029418,202.679864,0.558502,,,,,
89.0,210.606251,0.204056,202.891651,1.729307,,,,,
90.0,210.480365,-0.414204,203.315225,2.856558,,,,,
91.0,210.983907,-0.773586,203.950585,4.076040,,,,,
92.0,210.858021,-1.404028,204.480051,5.367255,,,,,
93.0,210.102709,-2.253754,205.327198,6.868550,,,,,
94.0,209.976824,-2.878105,205.538985,8.367282,,,,,
95.0,210.228594,-3.316674,205.327198,9.663622,,,,,
96.0,210.480365,-3.816155,204.903625,10.642281,,,,,
97.0,209.850938,-4.519691,204.162371,11.111116,,,,,
98.0,209.221511,-5.119677,203.421118,11.118801,,,,,
99.0,209.725053,-5.463832,203.103438,10.829303,,,,,
100.0,210.354480,-5.713572,202.997545,9.909568,,,,,
101.0,210.102709,-6.021179,202.997545,9.023138,,,,,
102.0,209.599168,-6.277011,202.891651,8.098279,,,,,
103.0,209.976824,-6.234372,202.785758,7.265650,,,,,
104.0,210.354480,-6.188688,203.738798,6.883921,,,,,
105.0,210.228594,-6.197825,203.738798,6.471450,,,,,
106.0,209.725053,-6.155186,203.738798,6.030797,,,,,
107.0,209.850938,-5.954176,203.950585,5.559401,,,,,
108.0,210.228594,-5.747074,203.315225,4.742143,,,,,
109.0,209.725053,-5.728800,203.209331,3.824970,,,,,
110.0,209.473282,-5.457741,203.103438,2.851435,,,,,
111.0,209.976824,-4.976534,203.103438,1.906080,,,,,
112.0,210.228594,-4.489235,203.527011,1.188738,,,,,
113.0,209.599168,-4.282134,203.632905,0.622550,,,,,
114.0,209.599168,-3.825291,203.527011,0.097354,,,,,
115.0,210.102709,-3.069979,203.421118,-0.458587,,,,,
116.0,210.354480,-2.360351,202.468078,-1.183614,,,,,
117.0,209.725053,-2.083200,201.303251,-2.159712,,,,,
118.0,209.599168,-1.714681,200.350211,-3.599520,,,,,
119.0,209.976824,-1.306568,199.820744,-5.213539,,,,,
120.0,210.354480,-0.974597,199.503064,-6.791692,,,,,
